customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
SYN0001,Male,0,Yes,Yes,52,Fiber optic,Two year,Yes,Electronic check,79.87,No
SYN0002,Male,0,No,No,3,No,Month-to-month,Yes,Mailed check,103.24,Yes
SYN0003,Male,1,Yes,No,49,Fiber optic,Month-to-month,No,Bank transfer,24.67,Yes
SYN0004,Male,0,No,No,64,No,Month-to-month,No,Mailed check,88.03,Yes
SYN0005,Male,0,No,Yes,53,DSL,Month-to-month,No,Credit card,88.33,Yes
SYN0006,Female,0,No,No,2,DSL,Month-to-month,No,Mailed check,76.77,No
SYN0007,Female,1,Yes,No,48,Fiber optic,Month-to-month,Yes,Electronic check,72.08,Yes
SYN0008,Female,0,Yes,No,60,DSL,Month-to-month,Yes,Credit card,100.22,Yes
SYN0009,Male,0,Yes,No,8,Fiber optic,One year,No,Credit card,27.4,Yes
SYN0010,Female,0,Yes,No,23,Fiber optic,One year,Yes,Mailed check,79.13,No
SYN0011,Male,0,Yes,Yes,14,Fiber optic,Month-to-month,No,Electronic check,62.75,Yes
SYN0012,Male,0,No,No,4,DSL,Two year,Yes,Bank transfer,61.04,Yes
SYN0013,Male,0,No,No,42,Fiber optic,Two year,No,Credit card,107.15,No
SYN0014,Female,0,Yes,No,62,DSL,Month-to-month,Yes,Bank transfer,62.71,Yes
SYN0015,Male,0,No,No,51,DSL,Month-to-month,Yes,Electronic check,36.83,Yes
SYN0016,Female,0,Yes,No,39,DSL,Month-to-month,Yes,Bank transfer,48.48,Yes
SYN0017,Female,1,No,No,1,DSL,Month-to-month,Yes,Credit card,68.95,Yes
SYN0018,Female,0,No,No,38,Fiber optic,Month-to-month,Yes,Bank transfer,83.35,Yes
SYN0019,Male,0,Yes,No,3,Fiber optic,One year,Yes,Electronic check,21.66,No
SYN0020,Male,0,Yes,No,39,DSL,Two year,No,Bank transfer,54.11,No
SYN0021,Male,0,No,No,60,No,Month-to-month,Yes,Bank transfer,116.54,No
SYN0022,Male,1,Yes,Yes,3,Fiber optic,Two year,No,Credit card,108.78,No
SYN0023,Female,0,No,No,25,DSL,Month-to-month,Yes,Credit card,74.87,Yes
SYN0024,Male,0,Yes,No,48,Fiber optic,One year,Yes,Mailed check,104.92,Yes
SYN0025,Female,0,No,No,30,Fiber optic,Two year,Yes,Bank transfer,109.2,No
SYN0026,Male,0,No,No,61,Fiber optic,Month-to-month,No,Electronic check,96.86,No
SYN0027,Male,1,Yes,Yes,37,Fiber optic,Two year,Yes,Credit card,116.67,No
SYN0028,Male,0,No,Yes,67,Fiber optic,Month-to-month,Yes,Bank transfer,113.62,No
SYN0029,Male,0,No,No,27,DSL,Month-to-month,Yes,Bank transfer,104.87,Yes
SYN0030,Female,0,No,No,25,DSL,One year,No,Credit card,20.52,Yes
SYN0031,Male,0,Yes,Yes,15,DSL,Month-to-month,No,Mailed check,77.83,No
SYN0032,Male,0,Yes,No,49,No,Month-to-month,Yes,Credit card,56.02,No
SYN0033,Female,0,No,Yes,6,Fiber optic,Month-to-month,No,Mailed check,74.06,Yes
SYN0034,Male,0,No,No,63,Fiber optic,Month-to-month,No,Electronic check,45.09,Yes
SYN0035,Female,0,Yes,Yes,1,DSL,Month-to-month,No,Bank transfer,29.39,No
SYN0036,Male,0,No,Yes,22,DSL,One year,Yes,Electronic check,76.6,Yes
SYN0037,Male,0,Yes,No,62,Fiber optic,One year,Yes,Electronic check,29.78,No
SYN0038,Male,1,No,No,69,DSL,Two year,No,Credit card,21.53,No
SYN0039,Female,0,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,114.02,Yes
SYN0040,Female,0,Yes,Yes,12,No,Month-to-month,Yes,Electronic check,110.54,Yes
SYN0041,Male,0,Yes,Yes,8,Fiber optic,Month-to-month,No,Electronic check,54.06,No
SYN0042,Female,0,No,No,36,No,Month-to-month,No,Credit card,74.8,Yes
SYN0043,Male,0,Yes,No,24,Fiber optic,Two year,Yes,Electronic check,43.86,No
SYN0044,Female,1,No,No,13,Fiber optic,Two year,No,Bank transfer,21.08,No
SYN0045,Male,0,No,No,16,DSL,Month-to-month,No,Bank transfer,52.87,Yes
SYN0046,Male,1,Yes,No,58,Fiber optic,Month-to-month,No,Electronic check,64.15,No
SYN0047,Female,0,No,No,17,DSL,Month-to-month,Yes,Electronic check,90.1,Yes
SYN0048,Female,1,Yes,No,8,Fiber optic,Month-to-month,Yes,Credit card,101.28,Yes
SYN0049,Male,0,Yes,Yes,54,DSL,One year,Yes,Mailed check,53.03,No
SYN0050,Female,0,Yes,No,61,Fiber optic,Two year,Yes,Credit card,88.1,No
SYN0051,Female,0,No,No,6,No,Two year,No,Electronic check,75.6,No
SYN0052,Female,0,Yes,No,20,DSL,Month-to-month,Yes,Credit card,41.68,No
SYN0053,Male,0,Yes,Yes,12,DSL,Two year,Yes,Mailed check,59.45,No
SYN0054,Male,0,Yes,No,50,Fiber optic,Month-to-month,Yes,Credit card,45.99,No
SYN0055,Female,0,Yes,No,29,DSL,Month-to-month,Yes,Credit card,114.05,No
SYN0056,Female,1,Yes,No,5,Fiber optic,Month-to-month,No,Electronic check,101.06,No
SYN0057,Male,0,No,Yes,49,Fiber optic,Two year,No,Electronic check,61.48,No
SYN0058,Female,1,Yes,Yes,3,Fiber optic,One year,Yes,Electronic check,114.48,No
SYN0059,Female,0,No,Yes,4,Fiber optic,Month-to-month,Yes,Mailed check,81.81,Yes
SYN0060,Female,1,Yes,No,50,Fiber optic,Two year,Yes,Bank transfer,76.09,No
SYN0061,Female,0,No,No,14,DSL,One year,Yes,Bank transfer,33.64,No
SYN0062,Female,0,No,No,52,Fiber optic,Month-to-month,No,Credit card,111.05,Yes
SYN0063,Female,0,Yes,Yes,17,Fiber optic,Month-to-month,Yes,Bank transfer,118.0,Yes
SYN0064,Female,0,No,No,23,DSL,Month-to-month,Yes,Credit card,33.88,No
SYN0065,Female,0,No,No,32,DSL,Month-to-month,Yes,Mailed check,24.09,Yes
SYN0066,Male,0,Yes,Yes,12,Fiber optic,Month-to-month,Yes,Mailed check,70.34,Yes
SYN0067,Male,0,Yes,Yes,63,DSL,Month-to-month,Yes,Bank transfer,106.83,No
SYN0068,Female,0,No,Yes,28,Fiber optic,Month-to-month,No,Bank transfer,94.75,Yes
SYN0069,Male,0,Yes,Yes,18,Fiber optic,Month-to-month,Yes,Electronic check,44.25,Yes
SYN0070,Female,0,Yes,No,44,DSL,Month-to-month,Yes,Bank transfer,67.4,No
SYN0071,Male,0,No,No,8,Fiber optic,One year,Yes,Credit card,57.88,No
SYN0072,Female,0,No,Yes,33,DSL,Month-to-month,Yes,Bank transfer,56.54,Yes
SYN0073,Female,0,No,No,3,Fiber optic,Month-to-month,No,Bank transfer,118.24,No
SYN0074,Male,0,Yes,No,51,Fiber optic,Two year,Yes,Mailed check,73.5,No
SYN0075,Female,0,Yes,No,20,DSL,Month-to-month,No,Electronic check,81.06,Yes
SYN0076,Female,1,Yes,No,6,DSL,Month-to-month,Yes,Bank transfer,26.34,Yes
SYN0077,Male,0,Yes,No,9,Fiber optic,One year,No,Mailed check,61.18,Yes
SYN0078,Male,0,No,No,9,Fiber optic,Month-to-month,Yes,Electronic check,112.64,Yes
SYN0079,Male,0,No,No,30,DSL,Two year,No,Electronic check,43.57,No
SYN0080,Male,0,Yes,No,39,No,One year,Yes,Electronic check,82.41,No
SYN0081,Female,1,Yes,No,53,Fiber optic,Two year,No,Credit card,31.69,No
SYN0082,Male,0,Yes,No,33,No,Month-to-month,No,Electronic check,98.86,Yes
SYN0083,Female,1,Yes,No,66,No,One year,Yes,Credit card,54.21,No
SYN0084,Female,0,Yes,No,8,DSL,Month-to-month,Yes,Mailed check,92.23,Yes
SYN0085,Male,0,Yes,Yes,20,No,Month-to-month,Yes,Mailed check,78.34,No
SYN0086,Female,0,Yes,No,60,DSL,One year,Yes,Credit card,111.88,No
SYN0087,Female,0,No,Yes,51,No,One year,Yes,Credit card,112.56,Yes
SYN0088,Female,0,Yes,No,1,Fiber optic,Two year,Yes,Electronic check,79.13,Yes
SYN0089,Male,0,No,No,35,Fiber optic,Month-to-month,No,Credit card,111.99,Yes
SYN0090,Male,0,Yes,No,51,Fiber optic,Month-to-month,Yes,Mailed check,36.55,Yes
SYN0091,Female,0,No,No,49,No,Month-to-month,Yes,Bank transfer,34.87,No
SYN0092,Male,0,Yes,No,51,No,Month-to-month,No,Bank transfer,40.51,Yes
SYN0093,Female,0,Yes,Yes,47,Fiber optic,Month-to-month,Yes,Electronic check,68.11,Yes
SYN0094,Female,0,Yes,Yes,32,No,Month-to-month,No,Electronic check,72.66,Yes
SYN0095,Male,0,Yes,No,67,Fiber optic,Month-to-month,No,Credit card,21.97,Yes
SYN0096,Male,1,No,No,35,Fiber optic,Month-to-month,Yes,Mailed check,105.57,Yes
